Time,X,Y,Theta,X_Dest,Y_Dest,Lin_Vel,Ang_Vel
"12:30:15,306",NaN,NaN,NaN,NaN,NaN,0.0535343,-0.0834068
"12:30:15,314",3.01467,0.999095,0.054942,NaN,NaN,NaN,NaN
"12:30:15,333",3.01611,1.00011,0.0503409,NaN,NaN,NaN,NaN
"12:30:15,350",3.01822,1.0011,0.0443488,NaN,NaN,NaN,NaN
"12:30:15,366",3.02118,1.00107,0.0394554,NaN,NaN,NaN,NaN
"12:30:15,384",3.02456,1.00008,0.0392781,NaN,NaN,NaN,NaN
"12:30:15,403",3.02704,0.999123,0.0426567,NaN,NaN,NaN,NaN
"12:30:15,411",NaN,NaN,NaN,NaN,NaN,0.125141,-0.055704
"12:30:15,422",3.0283,0.999175,0.045079,NaN,NaN,NaN,NaN
"12:30:15,432",NaN,NaN,NaN,4.0,1.0,NaN,NaN
"12:30:15,441",3.02924,1.00019,0.0456954,NaN,NaN,NaN,NaN
"12:30:15,458",3.03185,1.00114,0.0412461,NaN,NaN,NaN,NaN
"12:30:15,475",3.03605,1.00107,0.034321,NaN,NaN,NaN,NaN
"12:30:15,495",3.04261,1.00008,0.0329064,NaN,NaN,NaN,NaN
"12:30:15,506",NaN,NaN,NaN,NaN,NaN,0.191603,-0.0659046
"12:30:15,532",3.04919,1.00043,0.0348469,NaN,NaN,NaN,NaN
"12:30:15,550",3.05263,1.0003,0.0344321,NaN,NaN,NaN,NaN
"12:30:15,570",3.05763,1.00004,0.0322942,NaN,NaN,NaN,NaN
"12:30:15,602",3.06651,1.00042,0.0293318,NaN,NaN,NaN,NaN
"12:30:15,610",NaN,NaN,NaN,NaN,NaN,0.262915,-0.0472994
"12:30:15,632",NaN,NaN,NaN,4.0,1.0,NaN,NaN
"12:30:15,706",NaN,NaN,NaN,NaN,NaN,0.331866,-0.0497905
"12:30:15,715",3.10414,1.00116,0.0243591,NaN,NaN,NaN,NaN
"12:30:15,806",NaN,NaN,NaN,NaN,NaN,0.401426,-0.0455022
"12:30:15,814",3.1441,1.00204,0.0199283,NaN,NaN,NaN,NaN
"12:30:15,832",NaN,NaN,NaN,4.0,1.0,NaN,NaN
"12:30:15,906",NaN,NaN,NaN,NaN,NaN,0.474918,-0.0441293
"12:30:15,914",3.19162,1.00288,0.0153767,NaN,NaN,NaN,NaN
"12:30:16,007",NaN,NaN,NaN,NaN,NaN,0.546587,-0.0429464
"12:30:16,015",3.24677,1.00361,0.0111473,NaN,NaN,NaN,NaN
"12:30:16,032",NaN,NaN,NaN,4.0,1.0,NaN,NaN
"12:30:16,107",NaN,NaN,NaN,NaN,NaN,0.62019,-0.0367294
"12:30:16,115",3.30898,1.00418,0.00719993,NaN,NaN,NaN,NaN
"12:30:16,208",NaN,NaN,NaN,NaN,NaN,0.690013,-0.0393152
"12:30:16,216",3.37898,1.00455,0.0032928,NaN,NaN,NaN,NaN
"12:30:16,233",NaN,NaN,NaN,4.0,1.0,NaN,NaN
"12:30:16,308",NaN,NaN,NaN,NaN,NaN,0.767011,-0.0311236
"12:30:16,316",3.45567,1.00467,6.28318,NaN,NaN,NaN,NaN
"12:30:16,408",NaN,NaN,NaN,NaN,NaN,0.709776,-0.0317423
"12:30:16,416",3.527,1.00456,6.28012,NaN,NaN,NaN,NaN
"12:30:16,433",NaN,NaN,NaN,4.0,1.0,NaN,NaN
"12:30:16,508",NaN,NaN,NaN,NaN,NaN,0.618081,-0.0295626
"12:30:16,515",3.58824,1.00428,6.27727,NaN,NaN,NaN,NaN
"12:30:16,608",NaN,NaN,NaN,NaN,NaN,0.551762,-0.020537
"12:30:16,616",3.64391,1.0039,6.27535,NaN,NaN,NaN,NaN
"12:30:16,633",NaN,NaN,NaN,4.0,1.0,NaN,NaN
"12:30:16,708",NaN,NaN,NaN,NaN,NaN,0.485314,-0.0176383
"12:30:16,716",3.69223,1.00348,6.27363,NaN,NaN,NaN,NaN
"12:30:16,808",NaN,NaN,NaN,NaN,NaN,0.425826,-0.0109759
"12:30:16,816",3.73482,1.00304,6.27226,NaN,NaN,NaN,NaN
"12:30:16,833",NaN,NaN,NaN,4.0,1.0,NaN,NaN
"12:30:16,908",NaN,NaN,NaN,NaN,NaN,0.374761,-0.00796424
"12:30:16,916",3.77212,1.00262,6.27138,NaN,NaN,NaN,NaN
"12:30:17,008",NaN,NaN,NaN,NaN,NaN,0.326623,-0.00812709
"12:30:17,016",3.80474,1.00222,6.27066,NaN,NaN,NaN,NaN
"12:30:17,033",NaN,NaN,NaN,4.0,1.0,NaN,NaN
"12:30:17,109",NaN,NaN,NaN,NaN,NaN,0.284343,-0.00616071
